station,date,value,model
KATL,2026-02-05,46.0,OBS
KATL,2026-02-06,59.9,OBS
KATL,2026-02-07,54.3,OBS
KATL,2026-02-08,57.7,OBS
KATL,2026-02-09,65.6,OBS
KATL,2026-02-10,70.2,OBS
KATL,2026-02-11,64.7,OBS
KATL,2026-02-12,61.2,OBS
KATL,2026-02-13,58.7,OBS
KATL,2026-02-14,60.8,OBS
KATL,2026-02-15,61.9,OBS
KATL,2026-02-16,65.1,OBS
KATL,2026-02-17,66.2,OBS
KATL,2026-02-18,65.8,OBS
KATL,2026-02-19,76.1,OBS
KATL,2026-02-20,75.6,OBS
KATL,2026-02-21,66.9,OBS
KATL,2026-02-22,60.1,OBS
KATL,2026-02-23,39.5,OBS
KATL,2026-02-24,51.1,OBS
KATL,2026-02-25,61.7,OBS
KATL,2026-02-05,44.2,GFS
KATL,2026-02-06,63.3,GFS
KATL,2026-02-07,57.2,GFS
KATL,2026-02-08,59.1,GFS
KATL,2026-02-09,66.4,GFS
KATL,2026-02-10,68.6,GFS
KATL,2026-02-11,63.3,GFS
KATL,2026-02-12,63.2,GFS
KATL,2026-02-13,61.9,GFS
KATL,2026-02-14,61.0,GFS
KATL,2026-02-15,55.9,GFS
KATL,2026-02-16,68.3,GFS
KATL,2026-02-17,67.9,GFS
KATL,2026-02-18,65.5,GFS
KATL,2026-02-19,78.0,GFS
KATL,2026-02-20,78.2,GFS
KATL,2026-02-21,72.4,GFS
KATL,2026-02-22,60.1,GFS
KATL,2026-02-23,39.7,GFS
KATL,2026-02-24,53.1,GFS
KATL,2026-02-25,62.2,GFS
KATL,2026-02-05,44.9,ECMWF
KATL,2026-02-06,59.4,ECMWF
KATL,2026-02-07,54.5,ECMWF
KATL,2026-02-08,56.9,ECMWF
KATL,2026-02-09,63.5,ECMWF
KATL,2026-02-10,70.2,ECMWF
KATL,2026-02-11,61.8,ECMWF
KATL,2026-02-12,60.1,ECMWF
KATL,2026-02-13,58.1,ECMWF
KATL,2026-02-14,60.4,ECMWF
KATL,2026-02-15,58.9,ECMWF
KATL,2026-02-16,65.4,ECMWF
KATL,2026-02-17,65.9,ECMWF
KATL,2026-02-18,65.9,ECMWF
KATL,2026-02-19,76.3,ECMWF
KATL,2026-02-20,75.5,ECMWF
KATL,2026-02-21,65.5,ECMWF
KATL,2026-02-22,60.4,ECMWF
KATL,2026-02-23,39.0,ECMWF
KATL,2026-02-24,51.2,ECMWF
KATL,2026-02-25,60.8,ECMWF
KATL,2026-02-05,46.4,NBM
KATL,2026-02-06,60.0,NBM
KATL,2026-02-07,54.9,NBM
KATL,2026-02-08,57.8,NBM
KATL,2026-02-09,65.1,NBM
KATL,2026-02-10,68.0,NBM
KATL,2026-02-11,64.4,NBM
KATL,2026-02-12,62.2,NBM
KATL,2026-02-13,59.8,NBM
KATL,2026-02-14,61.6,NBM
KATL,2026-02-15,57.9,NBM
KATL,2026-02-16,65.3,NBM
KATL,2026-02-17,67.2,NBM
KATL,2026-02-18,66.5,NBM
KATL,2026-02-19,76.4,NBM
KATL,2026-02-20,76.7,NBM
KATL,2026-02-21,70.7,NBM
KATL,2026-02-22,62.1,NBM
KATL,2026-02-23,40.3,NBM
KATL,2026-02-24,52.0,NBM
KATL,2026-02-25,62.8,NBM
KAUS,2023-05-12,86.6,OBS
KAUS,2023-05-13,77.1,OBS
KAUS,2023-05-14,80.1,OBS
KAUS,2023-05-15,80.5,OBS
KAUS,2023-05-16,80.0,OBS
