station,date,run_hour_utc,lead_label,hrrr_tmax_f,obs_tmax_f,error_f
KATL,2026-04-17,12,12z (~6h lead),88.0003247070313,90.0,-1.9996752929687034
KAUS,2026-04-17,12,12z (~6h lead),86.08782470703129,89.0,-2.912175292968712
KBOS,2026-04-17,12,12z (~6h lead),61.20532958984379,57.0,4.205329589843792
KDCA,2026-04-17,12,12z (~6h lead),82.3753247070313,81.0,1.3753247070312966
KDFW,2026-04-17,12,12z (~6h lead),83.5003247070313,82.0,1.5003247070312966
KHOU,2026-04-17,12,12z (~6h lead),84.75485351562504,85.0,-0.24514648437495623
KJFK,2026-04-17,12,12z (~6h lead),77.11133544921879,81.0,-3.8886645507812148
KLAS,2026-04-17,12,12z (~6h lead),65.38782470703129,69.0,-3.6121752929687148
KLAX,2026-04-17,12,12z (~6h lead),69.88782470703129,73.0,-3.1121752929687148
KMIA,2026-04-17,12,12z (~6h lead),83.5238354492188,85.0,-1.4761645507812062
KMSP,2026-04-17,12,12z (~6h lead),69.50901611328129,67.0,2.509016113281291
KMSY,2026-04-17,12,12z (~6h lead),85.52532470703129,83.0,2.525324707031288
KOKC,2026-04-17,12,12z (~6h lead),80.25485351562504,77.0,3.2548535156250438
KORD,2026-04-17,12,12z (~6h lead),81.58782470703129,82.0,-0.4121752929687119
KPHL,2026-04-17,12,12z (~6h lead),79.33782470703129,83.0,-3.662175292968712
KPHX,2026-04-17,12,12z (~6h lead),83.95032470703129,87.0,-3.0496752929687148
KSAT,2026-04-17,12,12z (~6h lead),90.02532470703129,91.0,-0.9746752929687119
KSEA,2026-04-17,12,12z (~6h lead),50.76282470703129,56.0,-5.237175292968708
KSFO,2026-04-17,12,12z (~6h lead),58.862824707031294,70.0,-11.137175292968706
KATL,2026-04-17,18,18z (~2-3h lead),87.09312866210942,90.0,-2.9068713378905784
KAUS,2026-04-17,18,18z (~2-3h lead),85.51812866210942,89.0,-3.4818713378905812
KBOS,2026-04-17,18,18z (~2-3h lead),58.405628662109415,57.0,1.4056286621094145
KDCA,2026-04-17,18,18z (~2-3h lead),80.94441040039067,81.0,-0.05558959960933407
KDFW,2026-04-17,18,18z (~2-3h lead),82.59362304687504,82.0,0.5936230468750381
KHOU,2026-04-17,18,18z (~2-3h lead),82.74441040039066,85.0,-2.255589599609337
KJFK,2026-04-17,18,18z (~2-3h lead),76.61392944335941,81.0,-4.38607055664059
KLAS,2026-04-17,18,18z (~2-3h lead),69.21276977539067,69.0,0.21276977539066877
KLAX,2026-04-17,18,18z (~2-3h lead),70.55562866210941,73.0,-2.444371337890587
KMIA,2026-04-17,18,18z (~2-3h lead),83.64441040039067,85.0,-1.3555895996093312
KMSP,2026-04-17,18,18z (~2-3h lead),45.73191040039067,67.0,-21.268089599609333
KMSY,2026-04-17,18,18z (~2-3h lead),84.50562866210942,83.0,1.505628662109416
KOKC,2026-04-17,18,18z (~2-3h lead),76.85612304687504,77.0,-0.14387695312495907
KORD,2026-04-17,18,18z (~2-3h lead),83.05274169921879,82.0,1.0527416992187852
KPHL,2026-04-17,18,18z (~2-3h lead),81.13062866210942,83.0,-1.869371337890584
KPHX,2026-04-17,18,18z (~2-3h lead),84.39362304687504,87.0,-2.6063769531249648
KSAT,2026-04-17,18,18z (~2-3h lead),87.09312866210942,91.0,-3.9068713378905784
KSEA,2026-04-17,18,18z (~2-3h lead),52.45274169921879,56.0,-3.547258300781209
KSFO,2026-04-17,18,18z (~2-3h lead),61.11524169921879,70.0,-8.884758300781208
KATL,2026-04-18,12,12z (~6h lead),86.36242797851567,84.0,2.3624279785156688
KAUS,2026-04-18,12,12z (~6h lead),71.83460205078129,74.0,-2.1653979492187148
KBOS,2026-04-18,12,12z (~6h lead),47.95900390625004,51.0,-3.0409960937499605
KDCA,2026-04-18,12,12z (~6h lead),83.32492797851566,81.0,2.3249279785156602
KDFW,2026-04-18,12,12z (~6h lead),57.67492797851567,75.0,-17.32507202148433
KHOU,2026-04-18,12,12z (~6h lead),84.58516967773441,85.0,-0.4148303222655869
KJFK,2026-04-18,12,12z (~6h lead),65.4809887695313,66.0,-0.5190112304687062
KLAS,2026-04-18,12,12z (~6h lead),74.88742797851566,77.0,-2.1125720214843398
KLAX,2026-04-18,12,12z (~6h lead),75.26848876953129,76.0,-0.7315112304687119
KMIA,2026-04-18,12,12z (~6h lead),84.50980346679691,86.0,-1.4901965332030898
KMSP,2026-04-18,12,12z (~6h lead),43.724927978515666,46.0,-2.275072021484334
KMSY,2026-04-18,12,12z (~6h lead),86.81242797851567,86.0,0.8124279785156716
KOKC,2026-04-18,12,12z (~6h lead),60.82492797851567,63.0,-2.1750720214843327
KORD,2026-04-18,12,12z (~6h lead),46.89766967773441,63.0,-16.102330322265587
KPHL,2026-04-18,12,12z (~6h lead),74.03098876953129,78.0,-3.969011230468709
KPHX,2026-04-18,12,12z (~6h lead),89.06242797851567,91.0,-1.9375720214843284
KSAT,2026-04-18,12,12z (~6h lead),73.12066162109379,74.0,-0.8793383789062119
KSEA,2026-04-18,12,12z (~6h lead),60.71242797851566,68.0,-7.287572021484337
KSFO,2026-04-18,12,12z (~6h lead),58.46242797851566,72.0,-13.537572021484337
KATL,2026-04-18,18,18z (~2-3h lead),84.29760253906254,84.0,0.2976025390625381
KAUS,2026-04-18,18,18z (~2-3h lead),62.57406127929691,74.0,-11.425938720703087
KBOS,2026-04-18,18,18z (~2-3h lead),46.93656127929692,51.0,-4.063438720703083
KDCA,2026-04-18,18,18z (~2-3h lead),81.93510253906254,81.0,0.9351025390625409
KDFW,2026-04-18,18,18z (~2-3h lead),60.922596435546915,75.0,-14.077403564453085
KHOU,2026-04-18,18,18z (~2-3h lead),83.38656127929691,85.0,-1.613438720703087
KJFK,2026-04-18,18,18z (~2-3h lead),64.26156127929691,66.0,-1.738438720703087
KLAS,2026-04-18,18,18z (~2-3h lead),78.13509643554691,77.0,1.135096435546913
KLAX,2026-04-18,18,18z (~2-3h lead),75.73656127929692,76.0,-0.2634387207030784
KMIA,2026-04-18,18,18z (~2-3h lead),83.45500610351567,86.0,-2.5449938964843284
KMSP,2026-04-18,18,18z (~2-3h lead),44.93457763671879,46.0,-1.0654223632812077
KMSY,2026-04-18,18,18z (~2-3h lead),85.6595776367188,86.0,-0.34042236328120623
KOKC,2026-04-18,18,18z (~2-3h lead),63.59760253906254,63.0,0.5976025390625423
KORD,2026-04-18,18,18z (~2-3h lead),48.13000610351567,63.0,-14.869993896484331
KPHL,2026-04-18,18,18z (~2-3h lead),74.72406127929692,78.0,-3.2759387207030812
KPHX,2026-04-18,18,18z (~2-3h lead),89.94759643554691,91.0,-1.052403564453087
KSAT,2026-04-18,18,18z (~2-3h lead),61.111561279296915,74.0,-12.888438720703085
KSEA,2026-04-18,18,18z (~2-3h lead),62.047596435546915,68.0,-5.9524035644530855
KSFO,2026-04-18,18,18z (~2-3h lead),61.92207763671879,72.0,-10.07792236328121
KATL,2026-04-19,12,12z (~6h lead),65.0465893554688,69.0,-3.9534106445312034
KAUS,2026-04-19,12,12z (~6h lead),72.9215893554688,72.0,0.9215893554687966
KBOS,2026-04-19,12,12z (~6h lead),50.315296630859415,52.0,-1.6847033691405855
KDCA,2026-04-19,12,12z (~6h lead),57.95908935546879,66.0,-8.040910644531209
KDFW,2026-04-19,12,12z (~6h lead),70.33408935546879,72.0,-1.665910644531209
KHOU,2026-04-19,12,12z (~6h lead),67.74658935546879,70.0,-2.2534106445312148
KJFK,2026-04-19,12,12z (~6h lead),50.50398681640629,53.0,-2.4960131835937105
KLAS,2026-04-19,12,12z (~6h lead),82.70908935546879,84.0,-1.290910644531209
KLAX,2026-04-19,12,12z (~6h lead),67.07158935546879,72.0,-4.928410644531212
KMIA,2026-04-19,12,12z (~6h lead),85.30076416015629,88.0,-2.699235839843709
KMSP,2026-04-19,12,12z (~6h lead),45.24658935546879,47.0,-1.7534106445312077
KMSY,2026-04-19,12,12z (~6h lead),69.5465893554688,74.0,-4.453410644531203
KOKC,2026-04-19,12,12z (~6h lead),69.6590893554688,71.0,-1.3409106445312062
KORD,2026-04-19,12,12z (~6h lead),50.20076416015629,51.0,-0.7992358398437105
KPHL,2026-04-19,12,12z (~6h lead),54.16078613281254,57.0,-2.8392138671874605
KPHX,2026-04-19,12,12z (~6h lead),94.18408935546879,97.0,-2.8159106445312148
KSAT,2026-04-19,12,12z (~6h lead),61.34029663085941,65.0,-3.659703369140587
KSEA,2026-04-19,12,12z (~6h lead),67.18408935546879,74.0,-6.815910644531215
KSFO,2026-04-19,12,12z (~6h lead),60.20908935546879,73.0,-12.790910644531209
KATL,2026-04-19,18,18z (~2-3h lead),64.9701245117188,69.0,-4.029875488281206
KAUS,2026-04-19,18,18z (~2-3h lead),73.63262451171879,72.0,1.632624511718788
KBOS,2026-04-19,18,18z (~2-3h lead),47.865125732421916,52.0,-4.134874267578084
KDCA,2026-04-19,18,18z (~2-3h lead),57.645374755859415,66.0,-8.354625244140585
KDFW,2026-04-19,18,18z (~2-3h lead),71.82037475585942,72.0,-0.17962524414058123
KHOU,2026-04-19,18,18z (~2-3h lead),69.24512451171879,70.0,-0.7548754882812148
KJFK,2026-04-19,18,18z (~2-3h lead),47.19512451171879,53.0,-5.804875488281212
KLAS,2026-04-19,18,18z (~2-3h lead),87.46842163085941,84.0,3.4684216308594102
KLAX,2026-04-19,18,18z (~2-3h lead),69.69012573242192,72.0,-2.3098742675780812
KMIA,2026-04-19,18,18z (~2-3h lead),85.32762573242192,88.0,-2.6723742675780784
KMSP,2026-04-19,18,18z (~2-3h lead),46.407624511718794,47.0,-0.5923754882812062
KMSY,2026-04-19,18,18z (~2-3h lead),68.68092163085942,74.0,-5.319078369140584
KOKC,2026-04-19,18,18z (~2-3h lead),72.27037475585942,71.0,1.2703747558594216
KORD,2026-04-19,18,18z (~2-3h lead),49.88287475585942,51.0,-1.1171252441405812
KPHL,2026-04-19,18,18z (~2-3h lead),51.58262451171879,57.0,-5.417375488281209
KPHX,2026-04-19,18,18z (~2-3h lead),95.3451245117188,97.0,-1.6548754882812062
KSAT,2026-04-19,18,18z (~2-3h lead),63.50262573242192,65.0,-1.4973742675780812
KSEA,2026-04-19,18,18z (~2-3h lead),69.4701245117188,74.0,-4.529875488281206
KSFO,2026-04-19,18,18z (~2-3h lead),61.368421630859416,73.0,-11.631578369140584
KATL,2026-04-20,12,12z (~6h lead),74.16068237304691,77.0,-2.8393176269530898
KAUS,2026-04-20,12,12z (~6h lead),57.960682373046915,62.0,-4.0393176269530855
KBOS,2026-04-20,12,12z (~6h lead),46.373182373046916,53.0,-6.626817626953084
KDCA,2026-04-20,12,12z (~6h lead),55.03568237304692,57.0,-1.9643176269530827
KDFW,2026-04-20,12,12z (~6h lead),75.06068237304692,72.0,3.060682373046916
KHOU,2026-04-20,12,12z (~6h lead),74.61068237304691,73.0,1.610682373046913
KJFK,2026-04-20,12,12z (~6h lead),49.45462768554692,51.0,-1.5453723144530827
KLAS,2026-04-20,12,12z (~6h lead),89.23568237304691,90.0,-0.7643176269530869
KLAX,2026-04-20,12,12z (~6h lead),67.29818237304691,70.0,-2.701817626953087
KMIA,2026-04-20,12,12z (~6h lead),85.00506713867192,86.0,-0.9949328613280812
KMSP,2026-04-20,12,12z (~6h lead),58.523182373046915,64.0,-5.4768176269530855
KMSY,2026-04-20,12,12z (~6h lead),77.19818237304692,75.0,2.1981823730469188
KOKC,2026-04-20,12,12z (~6h lead),73.48568237304691,74.0,-0.5143176269530869
KORD,2026-04-20,12,12z (~6h lead),54.248182373046916,57.0,-2.751817626953084
KPHL,2026-04-20,12,12z (~6h lead),50.57100341796879,55.0,-4.4289965820312105
KPHX,2026-04-20,12,12z (~6h lead),92.61068237304691,96.0,-3.389317626953087
KSAT,2026-04-20,12,12z (~6h lead),56.430067138671916,60.0,-3.569932861328084
KSEA,2026-04-20,12,12z (~6h lead),69.77318237304692,72.0,-2.2268176269530784
KSFO,2026-04-20,12,12z (~6h lead),60.14212768554692,66.0,-5.857872314453083
KATL,2026-04-20,18,18z (~2-3h lead),74.19012573242192,77.0,-2.8098742675780812
KAUS,2026-04-20,18,18z (~2-3h lead),60.532911376953166,62.0,-1.467088623046834
KBOS,2026-04-20,18,18z (~2-3h lead),49.08548706054692,53.0,-3.9145129394530827
KDCA,2026-04-20,18,18z (~2-3h lead),55.80631835937504,57.0,-1.193681640624959
KDFW,2026-04-20,18,18z (~2-3h lead),72.90631835937504,72.0,0.9063183593750352
KHOU,2026-04-20,18,18z (~2-3h lead),73.91881835937504,73.0,0.9188183593750381
KJFK,2026-04-20,18,18z (~2-3h lead),50.43548706054692,51.0,-0.5645129394530812
KLAS,2026-04-20,18,18z (~2-3h lead),89.22041137695317,90.0,-0.7795886230468341
KLAX,2026-04-20,18,18z (~2-3h lead),68.09798706054691,70.0,-1.902012939453087
KMIA,2026-04-20,18,18z (~2-3h lead),82.27298706054691,86.0,-3.7270129394530898
KMSP,2026-04-20,18,18z (~2-3h lead),63.57041137695317,64.0,-0.42958862304683265
KMSY,2026-04-20,18,18z (~2-3h lead),76.21512573242191,75.0,1.2151257324219102
KOKC,2026-04-20,18,18z (~2-3h lead),72.33947875976567,74.0,-1.6605212402343312
KORD,2026-04-20,18,18z (~2-3h lead),56.02697875976567,57.0,-0.9730212402343312
