ticker,station,series,temp_low,result,settled_yes,last_price,volume,settlement_date,last_price_cents,expiration_value
KXHIGHNY-26FEB24-T35,KJFK,KXHIGHNY,35.0,no,0,0.01,12512.0,2026-02-25,0,31.00
KXHIGHNY-26FEB24-T28,KJFK,KXHIGHNY,28.0,no,0,0.01,18034.0,2026-02-25,0,31.00
KXHIGHNY-26FEB24-B34.5,KJFK,KXHIGHNY,34.5,no,0,0.01,30038.0,2026-02-25,0,31.00
KXHIGHNY-26FEB24-B32.5,KJFK,KXHIGHNY,32.5,no,0,0.01,56363.0,2026-02-25,0,31.00
KXHIGHNY-26FEB24-B30.5,KJFK,KXHIGHNY,30.5,yes,1,0.99,69361.0,2026-02-25,0,31.00
KXHIGHNY-26FEB24-B28.5,KJFK,KXHIGHNY,28.5,no,0,0.01,89826.0,2026-02-25,0,31.00
KXHIGHNY-26FEB23-T40,KJFK,KXHIGHNY,40.0,no,0,0.01,4147.0,2026-02-24,0,35.00
KXHIGHNY-26FEB23-T33,KJFK,KXHIGHNY,33.0,no,0,0.01,60754.0,2026-02-24,0,35.00
KXHIGHNY-26FEB23-B39.5,KJFK,KXHIGHNY,39.5,no,0,0.01,7810.0,2026-02-24,0,35.00
KXHIGHNY-26FEB23-B37.5,KJFK,KXHIGHNY,37.5,no,0,0.01,23598.0,2026-02-24,0,35.00
KXHIGHNY-26FEB23-B35.5,KJFK,KXHIGHNY,35.5,yes,1,0.99,66490.0,2026-02-24,0,35.00
KXHIGHNY-26FEB23-B33.5,KJFK,KXHIGHNY,33.5,no,0,0.02,195257.0,2026-02-24,0,35.00
KXHIGHNY-26FEB22-T45,KJFK,KXHIGHNY,45.0,no,0,0.01,5731.0,2026-02-23,0,39.00
KXHIGHNY-26FEB22-T38,KJFK,KXHIGHNY,38.0,no,0,0.01,723006.0,2026-02-23,0,39.00
KXHIGHNY-26FEB22-B44.5,KJFK,KXHIGHNY,44.5,no,0,0.01,13366.0,2026-02-23,0,39.00
KXHIGHNY-26FEB22-B42.5,KJFK,KXHIGHNY,42.5,no,0,0.01,27220.0,2026-02-23,0,39.00
KXHIGHNY-26FEB22-B40.5,KJFK,KXHIGHNY,40.5,no,0,0.01,75987.0,2026-02-23,0,39.00
KXHIGHNY-26FEB22-B38.5,KJFK,KXHIGHNY,38.5,yes,1,0.99,122940.0,2026-02-23,0,39.00
