station,n,wins,win_rate,mean_ask,edge,ci_edge_lo,ci_wr_lo,ci_wr_hi,kelly_mult,kelly_note,n_BUY,win_BUY,edge_BUY,n_STRONG,win_STRONG,edge_STRONG
KAUS,181,100,0.5525,0.5254,0.0271,-0.0457,0.4797,0.6231,1.0,CI_INCLUDES_ZERO (ci_lo_edge=-0.0457),144,0.5139,0.0183,37,0.7027,0.0613
KDCA,1,1,1.0,0.7,0.3,-0.4935,0.2065,1.0,1.0,INSUFFICIENT (n=1 < 20),0,,,1,1.0,0.3
KJFK,176,105,0.5966,0.5331,0.0635,-0.0103,0.5228,0.6663,1.0,CI_INCLUDES_ZERO (ci_lo_edge=-0.0103),136,0.5515,0.0564,40,0.75,0.088
KLAX,4,2,0.5,0.555,-0.055,-0.405,0.15,0.85,1.0,INSUFFICIENT (n=4 < 20),3,0.3333,-0.2,1,1.0,0.38
KMIA,239,123,0.5146,0.54,-0.0254,-0.0884,0.4516,0.5773,1.0,CI_INCLUDES_ZERO (ci_lo_edge=-0.0884),164,0.439,-0.0526,75,0.68,0.0344
KMSP,1,1,1.0,0.67,0.33,-0.4635,0.2065,1.0,1.0,INSUFFICIENT (n=1 < 20),0,,,1,1.0,0.33
KORD,173,106,0.6127,0.5224,0.0903,0.016,0.5384,0.6821,2.0,edge=+0.0903 / baseline=0.034 → raw=2.66 → capped=2.0,132,0.5606,0.0765,41,0.7805,0.1349
KPHL,1,1,1.0,0.64,0.36,-0.4335,0.2065,1.0,1.0,INSUFFICIENT (n=1 < 20),0,,,1,1.0,0.36
KSEA,1,0,0.0,0.57,-0.57,-0.57,0.0,0.7935,1.0,INSUFFICIENT (n=1 < 20),1,0.0,-0.57,0,,
KSFO,1,0,0.0,0.48,-0.48,-0.48,0.0,0.7935,1.0,INSUFFICIENT (n=1 < 20),1,0.0,-0.48,0,,
